Feature,Importance,Original_Feature
trf2__location_Location 36,0.0006409451,location
trf2__location_Location 73,0.0006382877,location
trf2__u_symptom_Symptom 26,0.00063040905,u
trf2__u_symptom_Symptom 564,0.0006294336,u
trf2__location_Location 28,0.00062886835,location
trf2__location_Location 47,0.0006262212,location
trf2__u_symptom_Symptom 25,0.00062619837,u
trf2__u_symptom_Symptom 530,0.0006246963,u
trf2__location_Location 149,0.00062315236,location
trf2__location_Location 42,0.00062094536,location
trf2__location_Location 184,0.00061977305,location
trf2__location_Location 143,0.0006150866,location
trf2__u_symptom_Symptom 147,0.00061435107,u
trf2__location_Location 99,0.0006135157,location
trf2__location_Location 224,0.0006122596,location
trf2__u_symptom_Symptom 605,0.0006060228,u
remainder__opened_month,0.00060555845,opened
trf2__u_symptom_Symptom 603,0.00060196733,u
trf2__u_symptom_Symptom 360,0.0006009968,u
trf2__location_Location 112,0.0005959378,location
trf2__location_Location 218,0.00059377553,location
trf2__location_Location 46,0.0005830253,location
trf2__location_Location 205,0.0005741609,location
trf2__location_Location 111,0.0005739028,location
trf2__u_symptom_Symptom 126,0.00057292415,u
trf2__location_Location 128,0.0005714975,location
trf2__location_Location 129,0.00056756794,location
trf2__location_Location 206,0.0005663805,location
trf2__u_symptom_Symptom 230,0.0005518984,u
trf2__u_symptom_Symptom 388,0.0005492534,u
trf2__location_Location 229,0.0005485485,location
trf2__location_Location 165,0.0005480322,location
trf2__location_Location 136,0.00054736034,location
trf2__location_Location 15,0.00054266496,location
trf2__location_Location 77,0.0005418403,location
trf2__location_Location 223,0.0005416317,location
trf2__u_symptom_Symptom 318,0.000540809,u
trf2__location_Location 56,0.0005329628,location
trf2__u_symptom_Symptom 111,0.0005289731,u
trf2__u_symptom_Symptom 607,0.0005287579,u
trf2__location_Location 93,0.00052619743,location
remainder__is_weekend,0.00052542146,is
trf2__location_Location 96,0.00052496395,location
trf2__u_symptom_Symptom 481,0.0005169561,u
trf2__location_Location 18,0.0005165815,location
trf2__u_symptom_Symptom 181,0.0005151445,u
trf2__location_Location 108,0.00051143375,location
trf2__location_Location 83,0.0005049838,location
trf2__location_Location 71,0.00050442916,location
trf2__u_symptom_Symptom 276,0.00050407794,u
trf2__location_Location 45,0.00050320104,location
