Feature,Importance
trf1__u_symptom_Symptom 185,0.0
trf1__u_symptom_Symptom 184,0.0
trf1__location_Location 184,0.0
trf1__u_symptom_Symptom 182,0.0
trf1__u_symptom_Symptom 181,0.0
trf1__u_symptom_Symptom 180,0.0
trf1__u_symptom_Symptom 179,0.0
trf1__u_symptom_Symptom 178,0.0
trf1__u_symptom_Symptom 177,0.0
trf1__u_symptom_Symptom 176,0.0
trf1__u_symptom_Symptom 174,0.0
trf1__u_symptom_Symptom 173,0.0
trf1__u_symptom_Symptom 172,0.0
trf1__u_symptom_Symptom 171,0.0
trf1__u_symptom_Symptom 17,0.0
trf1__u_symptom_Symptom 169,0.0
trf1__u_symptom_Symptom 167,0.0
trf1__u_symptom_Symptom 164,0.0
trf1__u_symptom_Symptom 162,0.0
trf1__u_symptom_Symptom 160,0.0
trf1__u_symptom_Symptom 159,0.0
trf1__u_symptom_Symptom 158,0.0
trf1__u_symptom_Symptom 157,0.0
trf1__u_symptom_Symptom 155,0.0
trf1__u_symptom_Symptom 154,0.0
trf1__u_symptom_Symptom 152,0.0
trf1__location_Location 95,0.0
trf1__location_Location 195,0.0
trf1__u_symptom_Symptom 385,0.0
trf1__location_Location 208,0.0
trf1__location_Location 4,0.0
trf1__location_Location 35,0.0
trf1__location_Location 31,0.0
trf1__location_Location 30,0.0
trf1__location_Location 3,0.0
trf1__location_Location 27,0.0
trf1__location_Location 25,0.0
trf1__location_Location 248,0.0
trf1__location_Location 21,0.0
trf1__location_Location 211,0.0
trf1__location_Location 244,0.0
trf1__location_Location 243,0.0
trf1__location_Location 242,0.0
trf1__location_Location 24,0.0
trf1__location_Location 239,0.0
trf1__location_Location 237,0.0
trf1__location_Location 236,0.0
trf1__location_Location 234,0.0
trf1__location_Location 233,0.0
trf1__location_Location 212,0.0
trf1__location_Location 228,0.0
trf1__location_Location 227,0.0
trf1__location_Location 225,0.0
trf1__location_Location 221,0.0
trf1__location_Location 220,0.0
trf1__location_Location 219,0.0
trf1__location_Location 218,0.0
trf1__location_Location 217,0.0
trf1__location_Location 215,0.0
trf1__location_Location 40,0.0
trf1__location_Location 207,0.0
trf1__location_Location 91,0.0
trf1__location_Location 206,0.0
trf1__location_Location 9,0.0
trf1__location_Location 89,0.0
trf1__location_Location 87,0.0
trf1__location_Location 86,0.0
trf1__location_Location 8,0.0
trf1__location_Location 2,0.0
trf1__location_Location 78,0.0
trf1__location_Location 77,0.0
trf1__location_Location 20,0.0
trf1__location_Location 75,0.0
trf1__location_Location 73,0.0
trf1__location_Location 200,0.0
trf1__location_Location 68,0.0
trf1__location_Location 66,0.0
trf1__location_Location 65,0.0
trf1__location_Location 64,0.0
trf1__location_Location 63,0.0
trf1__location_Location 61,0.0
trf1__location_Location 60,0.0
trf1__location_Location 6,0.0
trf1__location_Location 59,0.0
trf1__location_Location 57,0.0
trf1__location_Location 201,0.0
trf1__location_Location 202,0.0
trf1__location_Location 203,0.0
trf1__location_Location 53,0.0
trf1__location_Location 52,0.0
trf1__location_Location 50,0.0
trf1__location_Location 49,0.0
trf1__u_symptom_Symptom 189,0.0
trf1__u_symptom_Symptom 190,0.0
trf1__u_symptom_Symptom 193,0.0
